Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US27111,27111,"Otter Tail County, Minnesota",57694,,55163,160,782,92,206,51,377,56,7,8,449,159,710,97,16,11,694,98
0500000US27113,27113,"Pennington County, Minnesota",14156,,13268,62,234,48,209,54,108,46,42,45,57,31,238,93,34,28,204,84
0500000US27115,27115,"Pine County, Minnesota",29067,,26585,84,615,72,705,92,149,29,13,24,177,65,823,119,64,50,759,112
0500000US27117,27117,"Pipestone County, Minnesota",9285,,8609,107,125,29,124,59,91,15,0,12,121,123,215,136,1,2,214,136
0500000US27119,27119,"Polk County, Minnesota",31550,,29368,143,446,74,373,88,240,49,16,12,318,116,789,171,99,96,690,130
0500000US27121,27121,"Pope County, Minnesota",10975,,10679,27,49,20,47,13,38,9,0,14,57,28,105,24,2,3,103,24
0500000US27123,27123,"Ramsey County, Minnesota",531528,,363250,1171,59572,1182,3401,550,72239,644,174,64,10430,1024,22462,1609,1621,343,20841,1603
0500000US27125,27125,"Red Lake County, Minnesota",4042,,3846,22,23,15,66,31,12,10,0,9,27,13,68,24,12,11,56,22
0500000US27127,27127,"Redwood County, Minnesota",15578,,13931,66,102,16,768,53,490,15,0,14,140,69,147,52,3,4,144,51
0500000US27129,27129,"Renville County, Minnesota",14995,,14000,130,45,29,204,64,75,32,0,14,504,126,167,67,40,33,127,61
0500000US27131,27131,"Rice County, Minnesota",65116,,57784,509,2718,173,271,67,1432,126,49,65,1708,484,1154,327,166,96,988,295
0500000US27133,27133,"Rock County, Minnesota",9554,,9208,39,75,26,64,8,88,2,0,12,45,30,74,30,0,12,74,30
0500000US27135,27135,"Roseau County, Minnesota",15609,,14569,32,117,15,220,60,443,33,2,4,25,16,233,72,3,4,230,72
0500000US27137,27137,"St. Louis County, Minnesota",200353,,185370,213,3053,248,3826,321,2111,135,77,27,612,168,5304,456,156,80,5148,441
0500000US27139,27139,"Scott County, Minnesota",139490,,118278,519,4202,406,979,161,8235,334,173,158,3209,676,4414,621,372,203,4042,533
0500000US27141,27141,"Sherburne County, Minnesota",91188,,85480,413,1901,237,471,227,1032,143,11,18,445,263,1848,403,38,46,1810,406
0500000US27143,27143,"Sibley County, Minnesota",14957,,14476,82,70,20,29,13,97,13,3,3,137,79,145,30,13,10,132,25
0500000US27145,27145,"Stearns County, Minnesota",153661,,138458,353,6908,318,537,142,3064,264,22,29,2001,383,2671,471,262,94,2409,449
0500000US27147,27147,"Steele County, Minnesota",36541,,33101,314,1079,111,50,39,433,136,5,12,1363,348,510,150,94,88,416,122
0500000US27149,27149,"Stevens County, Minnesota",9762,,9121,62,82,59,187,95,164,37,14,20,38,32,156,78,0,12,156,78
0500000US27151,27151,"Swift County, Minnesota",9483,,9073,85,172,69,21,22,17,19,0,12,139,87,61,59,2,3,59,58
